./experiments/25Jul_fullimg__graham/ not exist
Create ./experiments/25Jul_fullimg__graham/ success
./experiments/25Jul_fullimg__graham/log not exist
Create ./experiments/25Jul_fullimg__graham/log success
./experiments/25Jul_fullimg__graham/trained_models not exist
Create ./experiments/25Jul_fullimg__graham/trained_models success
Epoch [41/300], Step [100/206], Loss: 0.4442, Accuracy: 0.00%
Epoch [41/300], Step [200/206], Loss: 0.5333, Accuracy: 0.00%
Epoch [42/300], Step [100/206], Loss: 0.7810, Accuracy: 0.00%
Epoch [42/300], Step [200/206], Loss: 0.8046, Accuracy: 0.00%
Epoch [43/300], Step [100/206], Loss: 0.6260, Accuracy: 0.00%
Epoch [43/300], Step [200/206], Loss: 0.6855, Accuracy: 0.00%
Epoch [44/300], Step [100/206], Loss: 0.7480, Accuracy: 0.00%
Epoch [44/300], Step [200/206], Loss: 0.6178, Accuracy: 0.00%
Epoch [45/300], Step [100/206], Loss: 0.6835, Accuracy: 0.00%
Epoch [45/300], Step [200/206], Loss: 0.5787, Accuracy: 0.00%
Epoch [46/300], Step [100/206], Loss: 0.8055, Accuracy: 0.00%
Epoch [46/300], Step [200/206], Loss: 0.6478, Accuracy: 0.00%
Epoch [47/300], Step [100/206], Loss: 0.5796, Accuracy: 0.00%
Epoch [47/300], Step [200/206], Loss: 0.6142, Accuracy: 0.00%
Epoch [48/300], Step [100/206], Loss: 0.6289, Accuracy: 0.00%
Epoch [48/300], Step [200/206], Loss: 0.5846, Accuracy: 0.00%
Epoch [49/300], Step [100/206], Loss: 0.5514, Accuracy: 0.00%
Epoch [49/300], Step [200/206], Loss: 0.4256, Accuracy: 0.00%
Epoch [50/300], Step [100/206], Loss: 0.5566, Accuracy: 0.00%
Epoch [50/300], Step [200/206], Loss: 0.5198, Accuracy: 0.00%
Epoch [51/300], Step [100/206], Loss: 0.5573, Accuracy: 0.00%
Epoch [51/300], Step [200/206], Loss: 0.4249, Accuracy: 0.00%
Epoch [52/300], Step [100/206], Loss: 0.5859, Accuracy: 0.00%
Epoch [52/300], Step [200/206], Loss: 0.5161, Accuracy: 0.00%
Epoch [53/300], Step [100/206], Loss: 0.4699, Accuracy: 0.00%
Epoch [53/300], Step [200/206], Loss: 0.5282, Accuracy: 0.00%
Epoch [54/300], Step [100/206], Loss: 0.5631, Accuracy: 0.00%
Epoch [54/300], Step [200/206], Loss: 0.7558, Accuracy: 0.00%
Epoch [55/300], Step [100/206], Loss: 0.3853, Accuracy: 0.00%
Epoch [55/300], Step [200/206], Loss: 0.8654, Accuracy: 0.00%
Epoch [56/300], Step [100/206], Loss: 0.6663, Accuracy: 0.00%
Epoch [56/300], Step [200/206], Loss: 0.3970, Accuracy: 0.00%
Epoch [57/300], Step [100/206], Loss: 0.6087, Accuracy: 0.00%
Epoch [57/300], Step [200/206], Loss: 0.5564, Accuracy: 0.00%
Epoch [58/300], Step [100/206], Loss: 0.8090, Accuracy: 0.00%
Epoch [58/300], Step [200/206], Loss: 0.3786, Accuracy: 0.00%
Epoch [59/300], Step [100/206], Loss: 0.5709, Accuracy: 0.00%
Epoch [59/300], Step [200/206], Loss: 0.6657, Accuracy: 0.00%
Epoch [60/300], Step [100/206], Loss: 0.5403, Accuracy: 0.00%
Epoch [60/300], Step [200/206], Loss: 0.4651, Accuracy: 0.00%
Epoch [61/300], Step [100/206], Loss: 0.3878, Accuracy: 0.00%
Epoch [61/300], Step [200/206], Loss: 0.6164, Accuracy: 0.00%
Epoch [62/300], Step [100/206], Loss: 0.5095, Accuracy: 0.00%
Epoch [62/300], Step [200/206], Loss: 0.6942, Accuracy: 0.00%
Epoch [63/300], Step [100/206], Loss: 0.5990, Accuracy: 0.00%
Epoch [63/300], Step [200/206], Loss: 0.5011, Accuracy: 0.00%
Epoch [64/300], Step [100/206], Loss: 0.3907, Accuracy: 0.00%
Epoch [64/300], Step [200/206], Loss: 0.6353, Accuracy: 0.00%
Epoch [65/300], Step [100/206], Loss: 0.7246, Accuracy: 0.00%
Epoch [65/300], Step [200/206], Loss: 0.3424, Accuracy: 0.00%
Epoch [66/300], Step [100/206], Loss: 0.4532, Accuracy: 0.00%
Epoch [66/300], Step [200/206], Loss: 0.4201, Accuracy: 0.00%
Epoch [67/300], Step [100/206], Loss: 0.4270, Accuracy: 0.00%
Epoch [67/300], Step [200/206], Loss: 0.4484, Accuracy: 0.00%
Epoch [68/300], Step [100/206], Loss: 0.6281, Accuracy: 0.00%
Epoch [68/300], Step [200/206], Loss: 0.5261, Accuracy: 0.00%
Epoch [69/300], Step [100/206], Loss: 0.3628, Accuracy: 0.00%
Epoch [69/300], Step [200/206], Loss: 0.5045, Accuracy: 0.00%
Epoch [70/300], Step [100/206], Loss: 0.4398, Accuracy: 0.00%
Epoch [70/300], Step [200/206], Loss: 0.4392, Accuracy: 0.00%
Epoch [71/300], Step [100/206], Loss: 0.2730, Accuracy: 0.00%
Epoch [71/300], Step [200/206], Loss: 0.3445, Accuracy: 0.00%
Epoch [72/300], Step [100/206], Loss: 0.4988, Accuracy: 0.00%
Epoch [72/300], Step [200/206], Loss: 0.4442, Accuracy: 0.00%
Epoch [73/300], Step [100/206], Loss: 0.3138, Accuracy: 0.00%
Epoch [73/300], Step [200/206], Loss: 0.6473, Accuracy: 0.00%
Epoch [74/300], Step [100/206], Loss: 0.3658, Accuracy: 0.00%
Epoch [74/300], Step [200/206], Loss: 0.3903, Accuracy: 0.00%
Epoch [75/300], Step [100/206], Loss: 0.3108, Accuracy: 0.00%
Epoch [75/300], Step [200/206], Loss: 0.6417, Accuracy: 0.00%
Epoch [76/300], Step [100/206], Loss: 0.3119, Accuracy: 0.00%
Epoch [76/300], Step [200/206], Loss: 0.6597, Accuracy: 0.00%
Epoch [77/300], Step [100/206], Loss: 0.3906, Accuracy: 0.00%
Epoch [77/300], Step [200/206], Loss: 0.3879, Accuracy: 0.00%
Epoch [78/300], Step [100/206], Loss: 0.4569, Accuracy: 0.00%
Epoch [78/300], Step [200/206], Loss: 0.4165, Accuracy: 0.00%
Epoch [79/300], Step [100/206], Loss: 0.3166, Accuracy: 0.00%
Epoch [79/300], Step [200/206], Loss: 0.4218, Accuracy: 0.00%
Epoch [80/300], Step [100/206], Loss: 0.3994, Accuracy: 0.00%
Epoch [80/300], Step [200/206], Loss: 0.6034, Accuracy: 0.00%
Epoch [81/300], Step [100/206], Loss: 0.2195, Accuracy: 0.00%
Epoch [81/300], Step [200/206], Loss: 0.3594, Accuracy: 0.00%
Epoch [82/300], Step [100/206], Loss: 0.4126, Accuracy: 0.00%
Epoch [82/300], Step [200/206], Loss: 0.3118, Accuracy: 0.00%
Epoch [83/300], Step [100/206], Loss: 0.4831, Accuracy: 0.00%
Epoch [83/300], Step [200/206], Loss: 0.2194, Accuracy: 0.00%
Epoch [84/300], Step [100/206], Loss: 0.3184, Accuracy: 0.00%
Epoch [84/300], Step [200/206], Loss: 0.2667, Accuracy: 0.00%
Epoch [85/300], Step [100/206], Loss: 0.6336, Accuracy: 0.00%
Epoch [85/300], Step [200/206], Loss: 0.2806, Accuracy: 0.00%
Epoch [86/300], Step [100/206], Loss: 0.6292, Accuracy: 0.00%
Epoch [86/300], Step [200/206], Loss: 0.4809, Accuracy: 0.00%
Epoch [87/300], Step [100/206], Loss: 0.1979, Accuracy: 0.00%
Epoch [87/300], Step [200/206], Loss: 0.2862, Accuracy: 0.00%
Epoch [88/300], Step [100/206], Loss: 0.5090, Accuracy: 0.00%
Epoch [88/300], Step [200/206], Loss: 0.2505, Accuracy: 0.00%
Epoch [89/300], Step [100/206], Loss: 0.4413, Accuracy: 0.00%
Epoch [89/300], Step [200/206], Loss: 0.3666, Accuracy: 0.00%
Epoch [90/300], Step [100/206], Loss: 0.4424, Accuracy: 0.00%
Epoch [90/300], Step [200/206], Loss: 0.4555, Accuracy: 0.00%
Epoch [91/300], Step [100/206], Loss: 0.3674, Accuracy: 0.00%
Epoch [91/300], Step [200/206], Loss: 0.2050, Accuracy: 0.00%
Epoch [92/300], Step [100/206], Loss: 0.2584, Accuracy: 0.00%
Epoch [92/300], Step [200/206], Loss: 0.2939, Accuracy: 0.00%
Epoch [93/300], Step [100/206], Loss: 0.1973, Accuracy: 0.00%
Epoch [93/300], Step [200/206], Loss: 0.4260, Accuracy: 0.00%
Epoch [94/300], Step [100/206], Loss: 0.3870, Accuracy: 0.00%
Epoch [94/300], Step [200/206], Loss: 0.3449, Accuracy: 0.00%
Epoch [95/300], Step [100/206], Loss: 0.3598, Accuracy: 0.00%
Epoch [95/300], Step [200/206], Loss: 0.3232, Accuracy: 0.00%
